Designator,Footprint,Quantity,Value,LCSC Part #
"C201, C202, C203, C209, C210, C305, C310, C312, C313, C315, C321, C323, C324, C325, C326, C328, C401, C404, C405, C501, C505",C_0603,21,100nF,C14663
"C204, C205, C206, C211, C212, C213, C304, C309, C311, C314, C322, C327, C402, C403",C_0805,14,10uF,C15850
"C207, C208, C214, C215, C216, C217",C_1206,6,47uF,C96123
"C301, C302",C_0603,2,10pF,C1634
"C303, C306",C_0603,2,68pF,C28262
"C317, C318, C320, C329",C_0603,4,100pF,C14858
"C406, C409, C410, C411, C412, C413, C502, C503",C_0603,8,1uF,C15849
"C407, C408, C504",C_0603,3,47pF,C1671
"D301, D302, D401, D402, D403, D404, D405, D406, D407, D408, D501",SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,11,BAV99_C7420336,C7420336
"FB201, FB202, FB203",FB_0805,3,~,C1015
J101,BNC_Amphenol_ICC 031-5329-51RFX,1,BNC_Amphenol_ICC 031-5329-51RFX,C5443992
"K1, K2, K3, K4, K5",RELAY-SMD_G6K-2F-X-XX,5,~,C47190
"L201, L202",L_APV_ANR5045,2,22uH,C440232
"L301, L302, L303, L304, L305, L306, L307, L308, L309, L310, L311, L401",L_0603,12,100nH,C98088
"Q201, Q301",Q_SOT-23,2,MMBT3906,C7420354
"Q202, Q401, Q402, Q403, Q404, Q405",Q_SOT-23,6,BC846B,C20069134
"R101, R504",R_0603,2,1kΩ,C21190
R103,R_0603,1,0Ω,C21189
"R201, R207",R_0603,2,24kΩ,C23352
"R202, R205, R206, R210, R212, R435, R436, R440, R441, R442",R_0603,10,22kΩ,C31850
"R203, R208, R209, R408, R433, R434, R437, R438, R439, R502, R507",R_0603,11,3.3kΩ,C22978
"R204, R211, R318, R443, R444, R445, R446, R447",R_0603,8,68Ω,C27592
"R301, R406",R_0603,2,4.7Ω,C23164
"R302, R315",R_0603,2,5.6kΩ,C23189
"R303, R314, R427, R428",R_0603,4,390Ω,C23151
"R304, R430, R431",R_0603,3,56Ω,C25196
"R305, R311",R_0603,2,49.9Ω,C23185
"R306, R312, R316",R_0603,3,2.7kΩ,C13167
"R307, R310, R317, R319, R422, R423, R424, R425",R_0603,8,100Ω,C22775
"R308, R313",R_0603,2,560Ω,C23204
"R401, R419, R420",R_0603,3,4.7kΩ,C23162
"R402, R405, R409",R_0603,3,15Ω,C22810
"R403, R505, R508",R_0603,3,100kΩ,C25803
R404,R_0805,1,270Ω,C17590
R407,R_0603,1,4.3kΩ,C23159
"R410, R413",R_1206,2,100Ω,C17901
"R414, R415, R416, R417",R_0603,4,10Ω,C22859
"R418, R421, R432, R460",R_0603,4,180Ω,C22828
R426,R_0603,1,47Ω,C23182
R429,R_0603,1,6.8kΩ,C23212
R455,R_0603,1,82Ω,C23255
R457,R_1206,1,120Ω,C17909
R458,R_0603,1,1.8kΩ,C4177
"R501, R506",R_0603,2,3.9kΩ,C23018
R503,R_0603,1,5.1kΩ,C23186
"U201, U202",SOT-23-6,2,~,C3193129
U301,Texas_RSA_VQFN-16-1EP_4x4mm_P0.65mm_EP2.7x2.7mm,1,OPA2673IRGVR,C1848168
U302,LFCSP-32_L5.0-W5.0-P0.50-BL-EP3.1,1,~,C514295
U303,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,1,NE5532DR,C7426
U501,SOIC-8_3.9x4.9mm_P1.27mm,1,LM393DR2G,C7955
X1,PinHeader_2x20_P1.27mm_Vertical_SMD,1,Conn_02x20_1.27mm_SMD_Header_M,C2881925
X2,PinHeader_2x05_P1.27mm_Vertical_SMD,1,Conn_02x05_1.27mm_SMD_Header_M,C2881910
